TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
24	R	E	R	E	F	8	4	shapes	F	8	True	9	(8.7426785109280374, -3.9789850967714235)	(-5.7529886097730119, -8.5582010673532647)	(-2.8062104958882745, 5.462328313797002)	(6.6027809914381521, 2.4589391813335659)	1.0	z	1.15553
25	Q	E	Q	Q	F	4	0	shapes	Q	8	False	9	(8.5692884834559599, 7.1927565745949238)	(-6.0004614135966818, -0.86833781010602173)	(4.8892303364412015, -7.9701255484921498)	(-6.8669248211541785, 4.844448028515993)	1.0	slash	1.22324
26	Q	F	Q	E	F	4	2	shapes	Q	8	False	9	(8.3177110714232292, 0.48563096253196925)	(-5.2778854547645473, 0.21153725433726223)	(-4.7419951786587937, -5.7266708976062111)	(0.17638278230351823, -1.8919673293294874)	1.0	slash	1.18882
27	R	F	E	F	F	4	3	shapes	F	8	True	9	(7.8866063525721515, -0.11177973643165551)	(0.64884990548258159, 7.756226938593354)	(-1.6450235102829396, 0.72799535920928093)	(-1.4508286154267518, -5.2089169709577288)	1.0	z	1.36852
28	Q	E	E	F	F	8	4	shapes	F	8	True	9	(1.8390156062781866, -7.9633171283216946)	(8.0687941388424882, 8.5192396084261617)	(-2.8171298737839585, -4.1383630722264648)	(-1.1229611794179419, 7.6456935764961003)	1.0	z	1.57995
29	R	E	F	F	Q	4	0	shapes	R	8	False	9	(0.92082834333911734, -3.8721240254120062)	(-1.3366826715269955, 0.48921188087914302)	(-8.1112088718136519, -8.0676188665238584)	(4.8950830504123193, 2.3539214626463529)	1.0	z	2.41567
30	Q	F	Q	E	E	4	3	shapes	E	8	True	9	(-2.5437394257643335, 8.1162772737795912)	(3.4589101862761567, -2.1075723879746464)	(-8.2433298519201017, -2.6533401054271168)	(0.90079548899015727, 2.8247582310808532)	1.0	z	1.4552
31	Q	E	F	R	F	8	6	shapes	E	8	False	9	(7.7169110907369074, 0.0060710352296204917)	(-3.8018865727306554, 6.7330389868829172)	(-2.8698911006103156, -8.5405672523604093)	(2.2755921018831664, -7.2231190200115352)	1.0	slash	1.12885
32	R	E	E	E	E	4	2	shapes	E	8	True	9	(3.7525710635746901, 5.2629996537806232)	(-3.9823738811633751, -5.485138033572694)	(2.6810213844671242, -1.401200296119697)	(-6.2864935071789869, 7.1989339312024985)	1.0	z	1.28043
1	N	B	N	B	A	4	3	shapes	B	0	False	9	(7.8670768943017677, -1.4914653639559141)	(-8.409656593042266, -2.8144611061696496)	(-8.0804010793360046, 4.0054554569572005)	(4.2178678338839166, 7.8313971036362773)	1.0	slash	0.685998
2	N	A	B	N	M	4	2	shapes	B	0	False	9	(4.2464205552807535, -6.8173306040906407)	(1.5955404097999022, 8.6885517024948236)	(-2.2070847255166841, 5.5209765137600915)	(-4.2150098913659271, -0.62291222783768951)	1.0	slash	0.78517
3	M	A	N	A	B	4	2	shapes	N	0	False	9	(-5.071852423396539, 7.9814993072395239)	(7.6345086585107893, -2.4969092115231906)	(1.8611159067398688, 8.4638527358962214)	(-0.76090695240490724, -2.9177332097101942)	1.0	slash	0.479162
4	N	B	M	A	B	4	3	shapes	A	0	False	9	(-1.3499525105812333, 0.64023603710738186)	(-7.8104139653168767, -8.7170101339916304)	(2.9136769300927874, -8.5794714053696666)	(5.6089985278277474, 7.9833201847395969)	1.0	slash	0.37794
5	N	A	N	B	M	4	3	shapes	B	0	False	9	(4.1117474021891773, -5.1813373972324204)	(-0.40574647847038392, -0.17653214041867216)	(3.6882307516961639, 3.9046743934364425)	(-6.8696783940444348, 1.3546177124744752)	1.0	slash	0.600779
6	M	B	M	N	M	4	1	shapes	B	0	False	9	(-1.8098661115823074, -0.87604565268332824)	(7.6110350152998478, 2.6231119287299727)	(-2.2976360674151337, 8.1746684706879087)	(0.14015109779801449, -4.6166038322257501)	1.0	slash	0.390241
7	N	B	N	M	M	4	2	shapes	N	0	False	9	(5.0834726840321967, -6.2819468997322261)	(2.6804791012986549, 0.71786455018573747)	(-5.6090527983580163, 1.5306867168551825)	(-8.5854484365947545, -7.4856587041949965)	1.0	slash	0.580526
8	N	A	A	M	B	4	2	shapes	A	0	False	9	(-2.5706002365003746, -2.5144775729358591)	(-5.9844721965766228, 2.6649898764207105)	(2.3710606252203537, -6.0432504907931692)	(3.3095210751947484, 5.8621724741012535)	1.0	slash	0.49845
1	P	D	P	P	D	4	0	shapes	P	1	False	9	(2.7211527343958757, 6.0699541248324937)	(-1.2071923641898854, 4.486494256668804)	(-3.1123073654485225, -2.6715702197448765)	(8.5146227657693458, -2.773982792446005)	1.0	slash	0.640781
2	O	D	P	O	P	4	1	shapes	D	1	False	9	(2.2165201700805444, -7.044158016544265)	(-2.884561924606972, 2.7919657105631277)	(-7.8493312498339112, -3.6496039853604731)	(4.0114369966016739, 1.668371791171003)	1.0	slash	0.468234
3	P	D	O	C	P	4	2	shapes	O	1	False	9	(2.4413844416820307, -6.9679271563871392)	(-4.6545425602607899, 8.1946524595109196)	(-8.6568316872850417, -2.8734042534396851)	(1.7218566743334307, 3.143953156504196)	1.0	slash	0.487054
4	P	C	O	O	C	4	3	shapes	O	1	False	9	(-7.1116279584424849, -1.9589733046914235)	(5.7611418801772594, -7.3684334705721435)	(-3.4911161453275747, 1.4915606848485634)	(2.7443156351598983, 4.6734075769012531)	1.0	slash	0.689221
5	O	D	C	C	O	4	2	shapes	C	1	False	9	(-3.8215811848834198, 6.7069979202377041)	(1.5967588941811517, -4.0036254716171467)	(6.4182871428046298, 7.1916588921521338)	(-7.6044778522130096, -0.55050711708110356)	1.0	slash	0.506402
6	O	C	P	D	P	4	1	shapes	C	1	False	9	(7.8375237481272038, 0.97737096325096928)	(3.4003076492398705, -2.5458631819159958)	(-7.4199299170159367, -2.8215194559865839)	(-2.5118665035088945, 5.7632554964163685)	1.0	slash	0.491967
7	O	D	P	O	C	4	2	shapes	P	1	False	9	(-5.9509832195165533, 6.575963470643444)	(5.7325942777996364, 5.7741344422939651)	(5.3551869372829728, -4.1944374673272433)	(-6.3930834118569182, -0.79177285719671797)	1.0	slash	0.50145
8	P	C	D	P	O	4	0	shapes	P	1	False	9	(0.10719198622865278, 7.5301575442929973)	(6.8497877966360434, -1.9371589241647111)	(-2.2962488773308545, -3.7291598653730791)	(-7.9979399180799025, 4.409290473328987)	1.0	slash	0.390918
